Academic Year : 2025-26 Even Sem				,,,,,,,,,,,,,,,,,,,,
W.E.F. 27th January 2026		,,,,,,,,,,,,,,,,,,,,
Day ↓ Time →,Class Level,Section Name,08:45-9:40,9:40-10:35,10:35-10:50,10:50 - 11:45,11:45-12:40,12:40-1:40,1:40-2:35,2:35-3:30,03:30-03:40,3:40-4:30,Course Code,Course Name,Category,Abbreviation_course,Assigned Faculty,Faculty_Abbreviation,EMP_ID,Session Type
TUESDAY,LY,Core2,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,23IT3317,Application Security Lab,ELECTIVE-IV,ASL,Prof. Rahul Bhole,RHB,1020487,P
TUESDAY,LY,DA1,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,23IT3310,Project Based Learning - IV,ELC,PBL-IV,-,-,-,P
TUESDAY,LY,DA2,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,23IT3303,Foundation of Artificial Intelligence- Laboratory,PCC,FAIL,Prof. Kalyani Lokhande,KL,1020447,P
TUESDAY,LY,SMAD,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,23IT3303,Foundation of Artificial Intelligence- Laboratory,PCC,FAIL,Prof. Swati Singh,SS,1020493,P
WEDNESDAY,SY,DA1,SE:SH:N-605,SP:KL:N-609/ DV:IR:N-605,Short Break,WP:RB:S-614,WP:RB:S-614,Long Break,OE:ONLINE,OE:ONLINE,Short Break,Project Meeting,23SCL4003,Aptitude and Professional Skills -  Industry Readiness,MDHDC,APS,-,-,-,L
WEDNESDAY,SY,DA2,SE:SH:N-605,SP:KL:N-609/ DV:IR:N-605,Short Break,CNL:JN:S-609,CNL:JN:S-609,Long Break,OE:ONLINE,OE:ONLINE,Short Break,Project Meeting,25IT101,Foreign Language,AEC,ForL,-,-,-,L
WEDNESDAY,SY,SMAD,AAD:RK:S-604,AAD:RK:S-604,Short Break,SE:SH:S-601,OS:PB:S-601,Long Break,OE:ONLINE,OE:ONLINE,Short Break,Project Meeting,23IT1108,User Experience Design,ELECTIVE-III,UED,Prof. Pranjali Khadse,PK,1020737,L
WEDNESDAY,TY,Core1,DEVOPS:AJ:S-610,DEVOPS:AJ:S-610,Short Break,ATL:RAB:N-613,ATL:RAB:N-613,Long Break,Library Slot,Library Slot,Short Break,Project Meeting,23IT1108,User Experience Design Lab,ELECTIVE-III,UED,Prof. Pranjali Khadse,PK,1020737,P
WEDNESDAY,TY,Core2,DEVOPS:AJ:S-610,DEVOPS:AJ:S-610,Short Break,ASL:RHB:N-611,ASL:RHB:N-611,Long Break,Library Slot,Library Slot,Short Break,Project Meeting,23IT3307,Natural Language Processing,ELECTIVE-III,NLP,Prof. Kalyani Lokhande,KL,1020447,L
WEDNESDAY,TY,Core3,DEVOPS:AJ:S-610,DEVOPS:AJ:S-610,Short Break,DEVOPSL:AJ:S-610,DEVOPSL:AJ:S-610,Long Break,FAIL:SS:S-610,FAIL:SS:S-610,Short Break,Project Meeting,23IT3307,Natural Language Processing Lab,ELECTIVE-III,NLPL,Prof. Kalyani Lokhande,KL,1020447,P
WEDNESDAY,TY,DA1,ISM:AG:N-609/SC:RN:N-607,FAI:JN:N-607,Short Break,UED:PK:N-605/       NLP:KL:S-607,LIBRARY SLOT,Long Break,Library Slot,Library Slot,Short Break,Project Meeting,23IT3309,Soft Computing,ELECTIVE-IV,SC,Dr. Rashmi Nair,RN,1020312,L
WEDNESDAY,TY,DA2,ISM:AG:N-609/SC:RN:N-607,FAI:JN:N-607,Short Break,UED:PK:N-605/       NLP:KL:S-607,LIBRARY SLOT,Long Break,Library Slot,Library Slot,Short Break,Project Meeting,23IT3309,Soft Computing,ELECTIVE-IV,SCL,Dr. Rashmi Nair,RN,1020312,P
WEDNESDAY,TY,SMAD,UED:PK:S-601,AT:RAB:S-601,Short Break,FSBDL:RK:S-611,FSBDL:RK:S-611,Long Break,Library Slot,Library Slot,Short Break,Project Meeting,23IT3304,Information Storage & Management,ELECTIVE-IV,ISM,Prof. Dr. Amit Gadekar,AG,1020808,L
WEDNESDAY,LY,Core1,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,23IT3304,Information Storage & Management Lab,ELECTIVE-IV,ISML,Prof. Dr. Amit Gadekar,AG,1020808,P
WEDNESDAY,LY,Core2,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,23IT3305,Full Stack Back-End Development,PCC,FSBD,Prof. Reetika Kerketta,RK,1020022,L
WEDNESDAY,LY,DA1,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,23IT3305,Full Stack Back-End Development Lab,PCC,FSBDL,Prof. Reetika Kerketta,RK,1020022,P
WEDNESDAY,LY,DA2,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,,,,,,,,
WEDNESDAY,LY,SMAD,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,,,,,,,,
