Day,Start Time,End Time,Subject Code,Faculty Name,Class Level,Section Name,Session Type,Batch,Room Number
TUESDAY,10:48 AM,12.4,MFC-III TUT,RI,SY,DA,Tutorial,1,N 605
TUESDAY,8:24 AM,3.3,COA,PB,SY,DA,Lecture,1,S 609
TUESDAY,10:48 AM,9.4,DBPL,JN,SY,DA,Practical,2,S 609
TUESDAY,10:48 AM,12.4,MFC-III TUT,RI,SY,DA,Tutorial,2,N 605
TUESDAY,10:48 AM,9.4,DSAL,PK,SY,SMAD,Practical,,N 611
TUESDAY,12:00 PM,11.45,MAdios,RK,SY,SMAD,Lecture,,S-604
TUESDAY,10:48 AM,12.4,MAdios,RK,SY,SMAD,Lecture,,S 604
TUESDAY,8:24 AM,3.3,DBP,SA,SY,SMAD,Lecture,,S 601
TUESDAY,10:48 AM,9.4,AA,SK,TY,Core,Lecture,1,N 607
TUESDAY,9:36 AM,10.35,FML,PB,TY,Core,Lecture,1,N 607
TUESDAY,12:00 PM,11.45,NS,RHB,TY,Core,Lecture,1,N 613
TUESDAY,12:00 PM,11.45,FSD,RK,TY,Core,Lecture,1,S 601
TUESDAY,10:48 AM,9.4,TOC,IR,TY,DA,Lecture,1,N 605
TUESDAY,9:36 AM,10.35,FML,RR,TY,DA,Lecture,1,N 605
TUESDAY,10:48 AM,9.4,KOTLIN PROG.,,TY,SMAD,Practical,,S-601
TUESDAY,10:48 AM,9.4,BI,SH,LY,Core-I,Lecture,,N 609
TUESDAY,9:36 AM,10.35,IS,PSD,LY,Core-I,Lecture,,N 609
TUESDAY,9:36 AM,2.35,APLIII DLL,AJ,LY,Core-I,Practical,,S 610
TUESDAY,9:36 AM,2.35,ISL,SK,LY,Core II,Practical,,N 611
TUESDAY,10:48 AM,9.4,DL,AJ,LY,DA-I,Lecture,,N 611
TUESDAY,9:36 AM,10.35,DI M,PJ,LY,DA-I,Lecture,,N 611
TUESDAY,10:48 AM,12.4,BDE,SA,LY,DA-I,Lecture,,N 609
TUESDAY,9:36 AM,2.35,week1&3 :DA1: APL III BI,SH,LY,DA-I,Lecture,,S 609 Week 2 &4: DA 2: APL III BI(SH) S 609
TUESDAY,9:36 AM,4.3,Elective-III(NLP,,LY,DA-I,Lecture,,
TUESDAY,9:36 AM,4.3,DM)(KL,,LY,DA-I,Practical,,
TUESDAY,9:36 AM,4.3,SK)N 607,,LY,DA-I,Lecture,,
TUESDAY,9:36 AM,4.3,N 609,,LY,DA-I,Lecture,,
TUESDAY,10:48 AM,9.4,IADL,NF1,LY,SMAD,Practical,,S 604
TUESDAY,12:00 PM,11.45,DLL,JN,LY,SMAD,Lecture,,S 610
TUESDAY,9:36 AM,2.35,PEM,RAB,LY,SMAD,Lecture,,N 609
TUESDAY,8:24 AM,3.3,DL,JN,LY,SMAD,Lecture,,N 609
WEDNESDAY,10:48 AM,9.4,DBPL,SA,SY,SMAD,Practical,,S 611
WEDNESDAY,12:00 PM,11.45,MFC-III,SG,SY,SMAD,Lecture,,N 601
WEDNESDAY,9:36 AM,10.35,Libary Slot,,TY,DA,Lecture,1,
WEDNESDAY,10:48 AM,9.4,IS,PSD,LY,Core-I,Lecture,,N 609
WEDNESDAY,9:36 AM,10.35,BI,SH,LY,Core-I,Lecture,,N 609
WEDNESDAY,12:00 PM,11.45,ISL,SK,LY,Core-I,Practical,,N 611
WEDNESDAY,9:36 AM,2.35,NLP,KL,LY,Core-I,Lecture,,N 609
WEDNESDAY,8:24 AM,3.3,DL,AJ,LY,Core-I,Lecture,,N 609
WEDNESDAY,12:00 PM,11.45,APLIII DLL,AJ,LY,Core II,Practical,,S 610
WEDNESDAY,10:48 AM,9.4,SK)N 607,,LY,DA-I,Lecture,,
WEDNESDAY,9:36 AM,10.35,DL,AJ,LY,DA-I,Lecture,,N 607
WEDNESDAY,12:00 PM,11.45,week1&3:APL III NLP,KL,LY,DA-I,Lecture,,S 611
WEDNESDAY,12:00 PM,11.45,DM,NF1,LY,DA-I,Lecture,,N 613 Week 2 &4: Library slot
WEDNESDAY,9:36 AM,2.35,BDEL,SA,LY,DA-I,Practical,,N 613
WEDNESDAY,9:36 AM,4.3,BDE,SA,LY,DA-I,Lecture,,N 611
WEDNESDAY,9:36 AM,2.35,DLL,SH,LY,DA-II,Lecture,,S 609
WEDNESDAY,9:36 AM,2.35,PEM,RAB,LY,SMAD,Lecture,,N 607
THURSDAY,9:36 AM,2.35,MFC-III,RI,SY,DA,Lecture,1,N 607
THURSDAY,10:48 AM,9.4,JP,RAB,SY,SMAD,Lecture,,S 609
THURSDAY,12:00 PM,11.45,DSA,PK,SY,SMAD,Lecture,,S 605
THURSDAY,9:36 AM,2.35,MAdios,RK,SY,SMAD,Lecture,,S 604
THURSDAY,8:24 AM,3.3,MAdios,RK,SY,SMAD,Lecture,,S 604
THURSDAY,10:48 AM,9.4,AA,SK,TY,core,Lecture,1,N 611
THURSDAY,9:36 AM,4.3,PBL,,TY,core,Lecture,1,
THURSDAY,9:36 AM,2.35,FMLL,RR,TY,DA,Practical,1,S 611
THURSDAY,9:36 AM,2.35,ISL,SK,LY,Core II,Practical,,N 611
THURSDAY,10:48 AM,9.4,DM,SK,LY,DA-I,Lecture,,S 610
THURSDAY,9:36 AM,2.35,DLL,AJ,LY,DA-I,Lecture,,S 610
FRIDAY,12:00 PM,11.45,DBPL,JN,SY,DA,Practical,1,S 611
FRIDAY,10:48 AM,9.4,DBPL,JN,SY,DA,Practical,2,S 609
FRIDAY,10:48 AM,9.4,DBPL,SA,SY,SMAD,Practical,,S 611
FRIDAY,12:00 PM,11.45,DBP,SA,SY,SMAD,Lecture,,N 605
FRIDAY,10:48 AM,12.4,MFC-III,SG,SY,SMAD,Lecture,,N 605
FRIDAY,10:48 AM,9.4,FMLL,PB,TY,Core,Practical,1,S 614
FRIDAY,9:36 AM,2.35,MDM OE-III : Online IPPS : SPR : FLSMP : KS :,,TY,Core,Practical,1,
FRIDAY,12:00 PM,11.45,TOC TUT,IR,TY,DA,Tutorial,2,N 607
MONDAY,10:48 AM,9.4,DBPL,JN,SY,DA,Practical,1,S 610
MONDAY,12:00 PM,11.45,DSCi,IR,SY,DA,Lecture,1,N 607
MONDAY,10:48 AM,12.4,EVS,HM,SY,DA,Lecture,1,N 607
MONDAY,12:00 PM,11.45,MFC-III,SG,SY,SMAD,Lecture,,N 601
MONDAY,10:48 AM,12.4,EVS,HM,SY,SMAD,Lecture,,N 607
MONDAY,10:48 AM,9.4,AA,AG,TY,Core,Lecture,1,N 607
MONDAY,9:36 AM,10.35,SCIL,,TY,Core,Practical,1,N 607
MONDAY,12:00 PM,11.45,NS,RHB,TY,Core,Lecture,1,N 609
MONDAY,10:48 AM,12.4,FML,PB,TY,Core,Lecture,1,N 609
MONDAY,9:36 AM,2.35,PBL,,TY,Core,Lecture,1,
MONDAY,10:48 AM,9.4,HHV,PS,TY,DA,Lecture,1,S 601
MONDAY,10:48 AM,9.4,CV,NF2,TY,DA,Lecture,1,N 601
